Algorithm,Population Size,Items Size,Calculation Time,NumberOfThreads
Metal,10000,100,3.950648667,2
Metal,10000,100,2.998619083,3
Metal,10000,100,2.501269209,4
Metal,10000,100,2.478403667,5
Metal,10000,100,2.292344375,6
Metal,10000,100,2.1418535,7
Metal,10000,100,2.184070291,8
Metal,10000,100,2.117464083,9
Metal,10000,100,1.984126375,10
Metal,11000,100,4.541074209,2
Metal,11000,100,3.308120792,3
Metal,11000,100,2.800510166,4
Metal,11000,100,2.68841975,5
Metal,11000,100,2.31488575,6
Metal,11000,100,2.558613042,7
Metal,11000,100,2.117871916,8
Metal,11000,100,2.261030875,9
Metal,11000,100,2.128593583,10
Metal,12000,100,4.784046458,2
Metal,12000,100,3.56519725,3
Metal,12000,100,2.987459958,4
Metal,12000,100,2.942495042,5
Metal,12000,100,2.552607833,6
Metal,12000,100,2.738207084,7
Metal,12000,100,2.344561875,8
Metal,12000,100,2.326971583,9
Metal,12000,100,2.467295542,10
Metal,13000,100,5.314259875,2
Metal,13000,100,3.888600167,3
Metal,13000,100,3.152543333,4
Metal,13000,100,3.212799459,5
Metal,13000,100,2.731778916,6
Metal,13000,100,2.409645042,7
Metal,13000,100,2.568242208,8
Metal,13000,100,2.466610416,9
Metal,13000,100,2.647143875,10
Metal,14000,100,5.588378542,2
Metal,14000,100,4.195433333,3
Metal,14000,100,3.823496,4
Metal,14000,100,3.612266458,5
Metal,14000,100,3.098359417,6
Metal,14000,100,2.449587083,7
Metal,14000,100,3.024832417,8
Metal,14000,100,2.841932834,9
Metal,14000,100,2.792851458,10
Metal,15000,100,5.894366333,2
Metal,15000,100,4.351000416,3
Metal,15000,100,3.829853625,4
Metal,15000,100,3.761084291,5
Metal,15000,100,3.1168255,6
Metal,15000,100,3.024601417,7
Metal,15000,100,2.907130792,8
Metal,15000,100,2.711207917,9
Metal,15000,100,3.119164375,10
Metal,16000,100,6.355973666,2
Metal,16000,100,4.849537791,3
Metal,16000,100,4.189493542,4
Metal,16000,100,4.212548875,5
Metal,16000,100,3.400124709,6
Metal,16000,100,3.042568125,7
Metal,16000,100,2.70324075,8
Metal,16000,100,2.839873292,9
Metal,16000,100,3.027711375,10
Metal,17000,100,6.610894542,2
Metal,17000,100,5.09281525,3
Metal,17000,100,4.226721958,4
Metal,17000,100,3.988050833,5
Metal,17000,100,3.726036292,6
Metal,17000,100,4.30885625,7
Metal,17000,100,3.322946167,8
Metal,17000,100,3.245141208,9
Metal,17000,100,3.517267167,10
Metal,18000,100,7.48660925,2
Metal,18000,100,5.54480375,3
Metal,18000,100,4.436812667,4
Metal,18000,100,3.95448,5
Metal,18000,100,3.803662458,6
Metal,18000,100,3.499838,7
Metal,18000,100,3.056144,8
Metal,18000,100,3.10238275,9
Metal,18000,100,3.233240291,10
Metal,19000,100,7.2929505,2
Metal,19000,100,5.93426125,3
Metal,19000,100,4.934835042,4
Metal,19000,100,4.986368834,5
Metal,19000,100,3.963347958,6
Metal,19000,100,3.155580291,7
Metal,19000,100,3.624582542,8
Metal,19000,100,4.854405459,9
Metal,19000,100,4.716810459,10
